gene,probe,log2FC,fold_change,p_value,p_adj,status
SFXN1,218392_x_at,0.7236028415323696,1.6513006819317575,3.6266615694019545e-16,8.689559113009005e-15,Up
NCAPG,218662_s_at,0.7230937426808559,1.6507180730328772,1.1407489892838898e-11,1.352810523055504e-10,Up
GCLM,203925_at,0.7230110419669291,1.6506234503672794,2.9534962890803175e-06,1.3494516672047717e-05,Up
IFT57,218100_s_at,-0.7226213794936669,0.6059953466071626,2.532672827404644e-06,1.17451714075042e-05,Down
IL6R,205945_at,-0.7223719190270934,0.6061001400306878,1.501717631421517e-10,1.4793445614927351e-09,Down
COL1A2,202403_s_at,0.7217570529239925,1.6491893535131243,1.46553227250546e-07,8.513153187757865e-07,Up
PDGFRL,205226_at,0.7215620615105545,1.6489664678560236,4.236901417352415e-08,2.703633284159904e-07,Up
OLA1,219293_s_at,0.7210097745401125,1.6483353376618557,2.7034894675503835e-18,8.99132176200376e-17,Up
WWC3,219520_s_at,-0.7207637698610156,0.606776126881668,2.422172694445551e-17,7.000424662818445e-16,Down
SMARCA2,217707_x_at,-0.7206118548909242,0.6068400234279863,1.0322125466440803e-19,4.331599280013191e-18,Down
CCND3,201700_at,-0.7202334020471461,0.606999232721262,2.5979783652748412e-12,3.407342667064114e-11,Down
MEX3D,91816_f_at,0.7202299216425088,1.6474445660946226,3.60788560632092e-08,2.3289256942540286e-07,Up
TACC3,218308_at,0.7201662325190039,1.647371839716901,1.0831268922263291e-13,1.7812041726552983e-12,Up
TCEB1,202824_s_at,0.7199669579700885,1.6471443095736988,2.7088548282041884e-12,3.540258776356242e-11,Up
ACVRL1,210838_s_at,-0.7189974986829695,0.6075194492571804,3.887149202823041e-24,2.9765410888833616e-22,Down
IL6ST,212195_at,-0.718588963117524,0.6076915081047585,8.600511871316567e-12,1.040984280437518e-10,Down
GPRASP1,204793_at,-0.7179722537265993,0.60795133375187,6.794473316389316e-16,1.5640624887304042e-14,Down
SERPINB5,204855_at,0.7176468746252658,1.644497568011899,0.00016499189137918218,0.0005517806266850243,Up
CSTA,204971_at,-0.7170763884919058,0.6083289683774925,2.1369768655461903e-05,8.402727279859849e-05,Down
ATP1B1,201242_s_at,0.7164207581836752,1.6431005375468,4.6593863596313975e-07,2.473793334564366e-06,Up
MRGBP,218586_at,0.7161464158212532,1.6427881158542161,7.659484185241484e-16,1.7487324395464752e-14,Up
CECR1,219505_at,-0.7161312940872566,0.608727608868921,5.704174823577228e-11,6.010893084919419e-10,Down
NPDC1,218086_at,-0.7156294478384932,0.6089393936168959,1.4813422698058958e-13,2.3850252744280907e-12,Down
SH2B3,203320_at,-0.7156292967558109,0.6089394573865763,1.528759036998173e-19,6.2851176423303125e-18,Down
HMGA2,208025_s_at,0.7154794043040118,1.6420287694250042,2.8176784194377258e-06,1.2953647249913523e-05,Up
ABHD11,221927_s_at,0.7153705175893741,1.6419048427697458,3.795740553032733e-16,9.055726632037302e-15,Up
ABHD6,221552_at,-0.7138756075964077,0.6096801127592943,5.039432983059507e-22,2.8573456784100507e-20,Down
SRD5A1,211056_s_at,0.713592286046798,1.639882316685322,1.9670532058218476e-14,3.598673775478508e-13,Up
MPDZ,213306_at,-0.7131165083085858,0.610000991049463,2.564735288715724e-12,3.3716812058084056e-11,Down
COL21A1,208096_s_at,-0.7129877759894443,0.6100554241372795,2.1693153698979407e-05,8.51036168792884e-05,Down
GUSBP11,213502_x_at,0.7125667661351152,1.6387170431212483,1.613091284358552e-07,9.319292996982529e-07,Up
ZBTB20,205383_s_at,-0.7122447029194205,0.6103697196094852,5.311713523582663e-13,7.859290335059262e-12,Down
IARS2,217900_at,0.7103049714560186,1.6361499464706237,9.278207501074086e-16,2.0904580156363383e-14,Up
CSGALNACT1,219049_at,-0.7102255094363112,0.6112245901110912,7.121981061622263e-07,3.6457409601683643e-06,Down
ALPL,215783_s_at,-0.7100829165992284,0.611285005204536,5.401629429606747e-07,2.8247948505028663e-06,Down
NDRG4,209159_s_at,-0.709974689349754,0.6113308639442104,7.554042498941449e-11,7.749338404570402e-10,Down
CD83,204440_at,-0.7097329003613702,0.611433328743808,1.7682664313389652e-13,2.800446402951397e-12,Down
VIM,201426_s_at,-0.709726384004222,0.6114360904687932,1.1649762927482485e-13,1.905959378216536e-12,Down
GJA1,201667_at,-0.7096441214859226,0.611470955568615,8.928322337241553e-05,0.00031380095684661435,Down
PDE8B,213228_at,-0.7095777556850802,0.6114990846547389,1.3420500508391305e-14,2.513016914525071e-13,Down
PFN2,204992_s_at,0.7095470979218845,1.6352906733266295,2.8798696129781922e-06,1.3195997241618971e-05,Up
CMAHP,205518_s_at,-0.7093222285862062,0.6116074016733708,0.00010712393390660301,0.00037048620506609264,Down
C3,217767_at,-0.7088991367864175,0.6117867909526119,2.7913178846123374e-06,1.2843059348093479e-05,Down
EPB41L3,206710_s_at,-0.7087437818761435,0.611852674037297,3.576850893341721e-09,2.7455380108967813e-08,Down
ICMT,201609_x_at,0.7085443082790235,1.634154409098349,6.0841115165578565e-18,1.9121615927145094e-16,Up
DOK2,214054_at,-0.7081044416460234,0.6121238808472174,2.033769368119148e-20,9.363322898718798e-19,Down
PCSK5,205559_s_at,-0.7080453083015463,0.6121489711629909,5.313849660766186e-09,3.9761085289070823e-08,Down
